Row Labels,Sum of Deaths
22-Jan,17
23-Jan,18
24-Jan,26
25-Jan,42
26-Jan,56
27-Jan,82
28-Jan,131
29-Jan,133
30-Jan,171
31-Jan,213
01-Feb,259
02-Feb,362
03-Feb,426
04-Feb,492
05-Feb,564
06-Feb,634
07-Feb,719
08-Feb,806
09-Feb,906
10-Feb,1013
11-Feb,1113
12-Feb,1118
13-Feb,1371
14-Feb,1523
15-Feb,1666
16-Feb,1770
17-Feb,1868
18-Feb,2008
19-Feb,2123
20-Feb,2246
21-Feb,2250
22-Feb,2457
23-Feb,2467
24-Feb,2627
25-Feb,2707
26-Feb,2767
27-Feb,2810
28-Feb,2867
29-Feb,2936
01-Mar,2990
02-Mar,3079
03-Mar,3154
04-Mar,3249
05-Mar,3342
06-Mar,3454
07-Mar,3553
08-Mar,3797
09-Mar,3981
10-Mar,4260
11-Mar,4604
12-Mar,4909
13-Mar,5406
14-Mar,5823
15-Mar,6464
16-Mar,7144
17-Mar,7948
18-Mar,8845
19-Mar,9951
20-Mar,11429
21-Mar,13134
22-Mar,14831
23-Mar,16748
24-Mar,19016
25-Mar,21793
26-Mar,24800
27-Mar,28318
28-Mar,31997
29-Mar,35470
30-Mar,39634
31-Mar,44478
01-Apr,50029
02-Apr,56334
03-Apr,62319
04-Apr,68160
05-Apr,73181
06-Apr,79013
07-Apr,86915
08-Apr,93650
09-Apr,101279
10-Apr,108551
11-Apr,114620
12-Apr,120351
13-Apr,126098
14-Apr,132996
15-Apr,141308
16-Apr,148591
17-Apr,157481
18-Apr,163952
19-Apr,168522
20-Apr,173965
21-Apr,181122
22-Apr,187877
23-Apr,194727
24-Apr,201401
25-Apr,206979
26-Apr,210862
27-Apr,215511
28-Apr,221974
29-Apr,228742
30-Apr,234704
01-May,239881
02-May,245206
03-May,248659
04-May,252787
05-May,258658
06-May,265327
07-May,270736
08-May,276304
09-May,280569
10-May,284135
11-May,287608
12-May,293155
13-May,298383
14-May,303651
15-May,308866
16-May,313037
17-May,316366
18-May,319657
19-May,324441
20-May,329326
21-May,334112
22-May,339396
23-May,343385
24-May,346525
25-May,347703
26-May,351906
27-May,357119
28-May,361820
29-May,366562
30-May,370718
31-May,373606
01-Jun,376674
02-Jun,381497
03-Jun,387069
04-Jun,392218
05-Jun,396994
06-Jun,400875
07-Jun,403617
08-Jun,407314
09-Jun,412236
10-Jun,417441
11-Jun,422215
12-Jun,426512
13-Jun,430750
14-Jun,434124
15-Jun,437549
16-Jun,444416
17-Jun,449671
18-Jun,454700
19-Jun,460973
20-Jun,465222
21-Jun,469185
22-Jun,472756
23-Jun,478067
24-Jun,483328
25-Jun,489955
26-Jun,494782
27-Jun,499268
28-Jun,502357
29-Jun,506078
30-Jun,511210
01-Jul,516221
02-Jul,521341
03-Jul,526336
04-Jul,530705
05-Jul,534150
06-Jul,537947
07-Jul,544054
08-Jul,549373
09-Jul,554831
10-Jul,560142
11-Jul,565039
12-Jul,568993
13-Jul,572808
14-Jul,578468
15-Jul,583961
16-Jul,589760
17-Jul,596503
18-Jul,602130
19-Jul,606159
20-Jul,610319
21-Jul,616557
22-Jul,623540
23-Jul,633506
24-Jul,639650
25-Jul,644517
26-Jul,648621
27-Jul,654036
Grand Total,43384903
